                                   name  last-ACC           BWT  lACC-per(100%KD)  lACC-rel_per  BWT-per(100%KD)  BWT-rel_per
     deterministic_m:0.5_S:cycle_dp:0.2    0.7084 -2.946667e-02        115.979044    -30.831099    -6.696970e+02    68.564356
       deterministic_m:0.5_S:mid_dp:0.4    0.7063 -4.160000e-02        115.635232    -28.016086    -9.454545e+02    57.301980
       deterministic_m:1.5_S:mid_dp:0.4    0.7048 -5.333333e-02        115.389653    -26.005362    -1.212121e+03    46.410891
       deterministic_m:1.0_S:mid_dp:0.4    0.7046 -2.200000e-02        115.356909    -25.737265    -5.000000e+02    75.495050
       deterministic_m:1.0_S:mid_dp:0.2    0.7030 -4.906667e-02        115.094957    -23.592493    -1.115152e+03    50.371287
deterministic_m:0.5_S:ten_to_ten_dp:0.2    0.6995 -3.426667e-02        114.521938    -18.900804    -7.787879e+02    64.108911
       deterministic_m:1.0_S:mid_dp:0.6    0.6989 -3.200000e-02        114.423707    -18.096515    -7.272727e+02    66.212871
     deterministic_m:1.0_S:cycle_dp:0.2    0.6972 -2.506667e-02        114.145383    -15.817694    -5.696970e+02    72.648515
       deterministic_m:0.5_S:mid_dp:0.6    0.6963 -2.440000e-02        113.998035    -14.611260    -5.545455e+02    73.267327
deterministic_m:0.5_S:ten_to_ten_dp:0.4    0.6957 -2.213333e-02        113.899804    -13.806971    -5.030303e+02    75.371287
 deterministic_m:0.5_S:first_end_dp:0.2    0.6953 -4.573333e-02        113.834316    -13.270777    -1.039394e+03    53.465347
       deterministic_m:1.5_S:mid_dp:0.2    0.6949 -5.560000e-02        113.768828    -12.734584    -1.263636e+03    44.306931
       deterministic_m:0.5_S:mid_dp:0.2    0.6944 -7.306667e-02        113.686968    -12.064343    -1.660606e+03    28.094059
deterministic_m:0.5_S:ten_to_ten_dp:0.6    0.6922 -7.333333e-03        113.326785     -9.115282    -1.666667e+02    89.108911
     deterministic_m:0.5_S:cycle_dp:0.4    0.6900 -1.813333e-02        112.966601     -6.166220    -4.121212e+02    79.084158
       deterministic_m:1.0_S:end_dp:0.4    0.6861 -5.386667e-02        112.328094     -0.938338    -1.224242e+03    45.915842
     deterministic_m:0.5_S:first_dp:0.2    0.6859 -5.880000e-02        112.295350     -0.670241    -1.336364e+03    41.336634
      deterministic_m:1.0_S:none_dp:1.0    0.6854 -1.033333e-01        112.213491     -0.000000    -2.348485e+03     0.000000
       deterministic_m:2.0_S:mid_dp:0.4    0.6848 -6.160000e-02        112.115259      0.804290    -1.400000e+03    38.737624
       deterministic_m:0.5_S:end_dp:0.2    0.6826 -8.133333e-02        111.755075      3.753351    -1.848485e+03    20.420792
     deterministic_m:0.5_S:cycle_dp:0.6    0.6824 -4.533333e-03        111.722331      4.021448    -1.030303e+02    91.707921
       deterministic_m:2.0_S:end_dp:0.2    0.6823 -7.253333e-02        111.705959      4.155496    -1.648485e+03    28.589109
deterministic_m:1.0_S:ten_to_ten_dp:0.2    0.6813 -3.853333e-02        111.542240      5.495979    -8.757576e+02    60.148515
