                                   name  last-ACC       BWT  lACC-per(100%KD)  lACC-rel_per  BWT-per(100%KD)  BWT-rel_per
     deterministic_m:0.5_S:cycle_dp:0.2    0.7084 -0.029467        115.979044    -30.831099      -669.696970    68.564356
deterministic_m:0.5_S:ten_to_ten_dp:0.2    0.6995 -0.034267        114.521938    -18.900804      -778.787879    64.108911
 deterministic_m:0.5_S:first_end_dp:0.2    0.6953 -0.045733        113.834316    -13.270777     -1039.393939    53.465347
   adaptive_m:0.5_S:ada_switch_2_dp:0.2    0.6949 -0.027200        113.768828    -12.734584      -618.181818    70.668317
       deterministic_m:0.5_S:mid_dp:0.2    0.6944 -0.073067        113.686968    -12.064343     -1660.606061    28.094059
   adaptive_m:0.5_S:ada_switch_3_dp:0.2    0.6901 -0.023200        112.982973     -6.300268      -527.272727    74.381188
   adaptive_m:0.5_S:ada_switch_4_dp:0.2    0.6900 -0.038533        112.966601     -6.166220      -875.757576    60.148515
   adaptive_m:0.5_S:ada_switch_5_dp:0.2    0.6863 -0.035067        112.360838     -1.206434      -796.969697    63.366337
     deterministic_m:0.5_S:first_dp:0.2    0.6859 -0.058800        112.295350     -0.670241     -1336.363636    41.336634
      deterministic_m:1.0_S:none_dp:1.0    0.6854 -0.103333        112.213491     -0.000000     -2348.484848     0.000000
       deterministic_m:0.5_S:end_dp:0.2    0.6826 -0.081333        111.755075      3.753351     -1848.484848    20.420792
   adaptive_m:0.5_S:ada_switch_1_dp:1.0    0.6728 -0.088933        110.150622     16.890080     -2021.212121    13.366337
       deterministic_m:0.5_S:all_dp:1.0    0.6393 -0.000400        104.666012     61.796247        -9.090909    95.544554
       deterministic_m:1.0_S:all_dp:1.0    0.6108  0.004400        100.000000    100.000000       100.000000   100.000000
